File,Vertex Cover Size,Computation Time (seconds)
pace2019_track1_vc_exact_all/vc-exact_171.gr,13822,0.0167811
pace2019_track1_vc_exact_all/vc-exact_172.gr,2820,0.00413627
pace2019_track1_vc_exact_all/vc-exact_173.gr,46008,0.0495654
pace2019_track1_vc_exact_all/vc-exact_174.gr,2120,0.00297977
pace2019_track1_vc_exact_all/vc-exact_175.gr,2482,0.00360681
pace2019_track1_vc_exact_all/vc-exact_176.gr,12056,0.0147359
pace2019_track1_vc_exact_all/vc-exact_177.gr,3604,0.00514436
pace2019_track1_vc_exact_all/vc-exact_178.gr,13822,0.0167342
pace2019_track1_vc_exact_all/vc-exact_179.gr,12056,0.0145321
pace2019_track1_vc_exact_all/vc-exact_180.gr,12056,0.0145951
pace2019_track1_vc_exact_all/vc-exact_181.gr,13822,0.0166346
pace2019_track1_vc_exact_all/vc-exact_182.gr,20000,0.0244374
pace2019_track1_vc_exact_all/vc-exact_183.gr,54164,0.0685505
pace2019_track1_vc_exact_all/vc-exact_184.gr,4420,0.00632649
pace2019_track1_vc_exact_all/vc-exact_185.gr,2482,0.0036198
pace2019_track1_vc_exact_all/vc-exact_186.gr,20000,0.0241654
pace2019_track1_vc_exact_all/vc-exact_187.gr,2978,0.00428315
pace2019_track1_vc_exact_all/vc-exact_188.gr,4680,0.00673325
pace2019_track1_vc_exact_all/vc-exact_189.gr,5200,0.00762386
pace2019_track1_vc_exact_all/vc-exact_190.gr,2730,0.00401252
pace2019_track1_vc_exact_all/vc-exact_191.gr,3226,0.00465869
pace2019_track1_vc_exact_all/vc-exact_192.gr,2120,0.00301833
pace2019_track1_vc_exact_all/vc-exact_193.gr,4940,0.00716731
pace2019_track1_vc_exact_all/vc-exact_194.gr,1150,0.0199408
pace2019_track1_vc_exact_all/vc-exact_195.gr,1148,0.0198305
pace2019_track1_vc_exact_all/vc-exact_196.gr,1534,0.030386
pace2019_track1_vc_exact_all/vc-exact_197.gr,1534,0.030633
pace2019_track1_vc_exact_all/vc-exact_198.gr,1148,0.021358
pace2019_track1_vc_exact_all/vc-exact_199.gr,1534,0.0348271
pace2019_track1_vc_exact_all/vc-exact_200.gr,1148,0.0227034
